t,Noise,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Monochromatic,Coalescing,Coalescing,Coalescing,Coalescing,Coalescing,Coalescing,Coalescing,Burst,Burst,Burst,Burst,Burst,Burst,Burst,Burst,Burst,Burst
0.0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.3296086711768336,0.5545533420188298,-0.11636971273625538,-0.10284470130320962,-0.5676362277777098,0.43444448005011826,-0.5249697731416749,5.5346390748787e-16,1.642502272694855e-09,1.4867195147342977e-06,5.6469174907348036e-05,0.00048422456080905485,-5.5346390748787e-16,-1.642502272694855e-09,-1.4867195147342977e-06,-5.6469174907348036e-05,-0.00048422456080905485
0.01001001001001001,0,0.49901138863020555,0.49975278604281076,0.4998901220995287,0.49993819269055917,0.49996044302856274,0.4999725297702687,0.4999798177413714,0.4999845479338734,0.4999877909468994,0.4999901106593416,-0.3143218483809643,0.5575733074129808,-0.09594947642015658,-0.0637003228273306,-0.5669155699320703,0.43849216335490504,-0.5206556252079786,6.359279634781589e-16,1.7759682670786658e-09,1.5629451759545644e-06,5.8464346087146335e-05,0.0004967361233924779,-6.359279634781589e-16,-1.7759682670786658e-09,-1.5629451759545644e-06,-5.8464346087146335e-05,-0.0004967361233924779
0.02002002002002002,0,0.49604946393058424,0.49901138863020555,0.4995605366907269,0.49975278604281076,0.49984177837326693,0.4998901220995287,0.49991927259478,0.49993819269055917,0.4999511643838414,0.49996044302856274,-0.2914254965565546,0.5605551909180053,-0.07526459703002066,-0.023383588179551894,-0.5661623049966584,0.44221115964704016,-0.5162674986449728,7.304755113600397e-16,1.9199787831263413e-09,1.6429143776209075e-06,6.0525798990044334e-05,0.0005095449141527878,-7.304755113600397e-16,-1.9199787831263413e-09,-1.6429143776209075e-06,-6.0525798990044334e-05,-0.0005095449141527878
0.03003003003003003,0,0.49112593867087406,0.4977765408973373,0.49901138863020555,0.49944382589469893,0.49964402481017,0.49975278604281076,0.4998183694479768,0.49986093713519436,0.4998901220995287,0.4999109982812366,-0.2614523252575621,0.5634986634486904,-0.054365017968404865,0.017389122838099784,-0.5653764162015241,0.44559805095022725,-0.511805846843171,8.388465461912001e-16,2.0753419417343595e-09,1.7268022256027468e-06,6.265557877562683e-05,0.0005226572708990642,-8.388465461912001e-16,-2.0753419417343595e-09,-1.7268022256027468e-06,-6.265557877562683e-05,-0.0005226572708990642
0.04004004004004004,0,0.4842602826632799,0.49604946393058424,0.49824291927490844,0.49901138863020555,0.4993672136294003,0.4995605366907269,0.49967711644677565,0.49975278604281076,0.49980466707503524,0.49984177837326693,-0.22510840059547974,0.5664033974849793,-0.033301407765626616,0.0578914022604519,-0.5645578885456422,0.44864966232306513,-0.5072711342045635,9.630270840955593e-16,2.2429257771633355e-09,1.8147915680031392e-06,6.48557881284293e-05,0.0005360796475452946,-9.630270840955593e-16,-2.2429257771633355e-09,-1.8147915680031392e-06,-6.48557881284293e-05,-0.0005360796475452946
0.050050050050050046,0,0.47547964577016266,0.49383186556007164,0.49725546637603285,0.498455581160466,0.49901138863020555,0.49931339516781265,0.4994955249943948,0.4996137460980397,0.49969480348366074,0.49975278604281076,-0.1832569477368529,0.5692690671039081,-0.012125039611271397,0.09739974536703548,-0.5637067088038472,0.4513630651165791,-0.5026638361192183,1.1052832867151152e-15,2.4236625196673815e-09,1.9070733153312072e-06,6.71285886866207e-05,0.0005498186157614907,-1.1052832867151152e-15,-2.4236625196673815e-09,-1.9070733153312072e-06,-6.71285886866207e-05,-0.0005498186157614907
0.06006006006006006,0,0.46481875054138855,0.49112593867087406,0.49604946393058424,0.4977765408973373,0.4985766061140232,0.49901138863020555,0.49927360975053703,0.49944382589469893,0.4995605366907269,0.49964402481017,-0.13689823627539455,0.572095348011626,0.009112331382244994,0.13520648616667041,-0.5628228655337028,0.45373558005900305,-0.49798443894034355,1.2682002241925724e-15,2.6185531720338924e-09,2.0038467728640893e-06,6.94762025000372e-05,0.000563880866636754,-1.2682002241925724e-15,-2.6185531720338924e-09,-2.0038467728640893e-06,-6.94762025000372e-05,-0.000563880866636754
0.07007007007007007,0,0.45231975490589904,0.48793435903456805,0.4946254419906292,0.4969744357194261,0.49806293487557146,0.4986545502626616,0.49901138863020555,0.4992430359352612,0.4994018732533153,0.4995154989776522,-0.08714600646164251,0.5748819175755107,0.03035859290046353,0.17063250572307512,-0.5619063490823029,0.455764780164586,-0.49323343995779007,1.4547258938639297e-15,2.828672399295416e-09,2.1053199856146367e-06,7.190091351798097e-05,0.0005782732123540956,-1.4547258938639297e-15,-2.828672399295416e-09,-2.1053199856146367e-06,-7.190091351798097e-05,-0.0005782732123540956
0.08008008008008008,0,0.4380320854604791,0.4842602826632799,0.49298402643033173,0.49604946393058424,0.4974704561919644,0.49824291927490844,0.4987088828022584,0.49901138863020555,0.49921882091994735,0.4993672136294003,-0.03520098250672947,0.5776284548563625,0.05156140184112091,0.20303948475932387,-0.5609571515930081,0.457448493463309,-0.4884113473699929,1.6682211921150277e-15,3.0551737520719173e-09,2.211710096333239e-06,7.440506910719028e-05,0.0005930025878767924,-1.6682211921150277e-15,-3.0551737520719173e-09,-2.211710096333239e-06,-7.440506910719028e-05,-0.0005930025878767924
0.09009009009009009,0,0.42201224201497517,0.48010734268884475,0.49112593867087406,0.4950018542108819,0.49679926380985145,0.4977765408973373,0.4983661166876988,0.49874889829724983,0.49901138863020555,0.49919917463119157,0.017677904971938323,0.5803346406406891,0.07266831212399731,0.23184147876382044,-0.5599752670121099,0.45878480554851053,-0.4835186802543565,1.9125166273232147e-15,3.2992952452687963e-09,2.3232437169845253e-06,7.699108160039447e-05,0.0006080760526460451,-1.9125166273232147e-15,-3.2992952452687963e-09,-2.3232437169845253e-06,-7.699108160039447e-05,-0.0006080760526460451
0.10010010010010009,0,0.40432357416687753,0.47547964577016266,0.48905199536338384,0.49383186556007164,0.49604946393058424,0.49725546637603285,0.49798311795770445,0.498455581160466,0.4987795865142974,0.49901138863020555,0.07020390381740962,0.5830001574730683,0.09362690359254783,0.2565156046256108,-0.5589606910954303,0.4597720619395368,-0.4785559685360596,2.1919766637239346e-15,3.5623653151955297e-09,2.440157314152359e-06,7.96614298758647e-05,0.0006235007922896955,-2.1919766637239346e-15,-3.5623653151955297e-09,-2.440157314152359e-06,-7.96614298758647e-05,-0.0006235007922896955
0.11011011011011011,0,0.3850360307887906,0.47038176803230547,0.4867631080300063,0.49253978723355574,0.4952211751934123,0.4966797529671424,0.49755991753139295,0.4981314553492772,0.49852342589256016,0.4988038630547613,0.12109370353010315,0.5856246896885949,0.11438491169788581,0.2766116424903184,-0.5579134214148496,0.46040887025666366,-0.473523752955305,2.5115727008244324e-15,3.845809179587889e-09,2.5626976088394264e-06,8.241866096836528e-05,0.0006392841203417637,-2.5115727008244324e-15,-3.845809179587889e-09,-2.5626976088394264e-06,-8.241866096836528e-05,-0.0006392841203417637
0.12012012012012012,0,0.36422588341943046,0.46481875054138855,0.4842602826632799,0.49112593867087406,0.4943145286567113,0.49604946393058424,0.4970965495733261,0.4977765408973373,0.49824291927490844,0.4985766061140232,0.1690988197127931,0.5882079234454064,0.13489035765107193,0.29176037481596656,-0.5568334573647635,0.46069410220565987,-0.46842258503298206,2.8769658222157654e-15,4.151155626515853e-09,2.6911219911409617e-06,8.526539171191395e-05,0.0006554334799725453,-2.8769658222157654e-15,-4.151155626515853e-09,-2.6911219911409617e-06,-8.526539171191395e-05,-0.0006554334799725453
